cooling_capacity,evap_temp,cond_temp,refrigerant,application,cop,pressure_ratio,safety_factor,mass_flow,displacement_required,heat_rejection,compressor_model,compressor_type,compressor_displacement,compressor_capacity,compressor_power,condenser_model,condenser_type,condenser_capacity,evaporator_count,evaporator_capacity_each
799.4266463310125,-34.534567784766274,47.4139198679073,R410A,hvac,1.328988438831212,12.96280675852316,1.1110775454028803,5.806980288583143,2446.0071250372744,1401.6079375147078,COPELAND-ZP91K5E,screw,91,80.0,27.0,GUNTNER-GACV-240,air_cooled,250.0,4,199.9495482323971
282.9027243447022,-16.402499414709833,46.857544832898384,R717,cold_storage,2.3411602652862937,8.418903988032742,1.1709294729599755,0.2699605595167648,535.3336638364347,402.54126149617036,BITZER-CSH8561-90,screw,856,300.0,82.5,BAC-VXC-438,evaporative,425.0,3,94.0205928206501
626.208176058931,-25.721557330656662,31.074730694872233,R717,blast_freezing,2.5759056300060172,8.22521766819049,1.1100543854641787,0.5491776433327854,1611.3346735166588,845.4120512753902,BITZER-CSH9563-160,screw,1417,500.0,135.0,BAC-VXC-584,evaporative,565.0,4,152.24826155098708
305.75631640656803,6.27240424413224,49.08604578147835,R717,blast_freezing,4.10073082573808,3.679371145525053,1.105571519762728,0.2877058196714506,247.12848551696524,379.7818141816948,BITZER-CSH8561-90,screw,856,300.0,82.5,BAC-VXC-438,evaporative,425.0,3,101.77515377542346
259.75811844460804,-22.718448044213133,29.784355740743436,R717,hvac,2.876402294798978,6.892330376750282,1.1625593070912281,0.23505750563661768,605.7429305974096,354.6281004337289,BITZER-CSH8561-90,screw,856,300.0,82.5,BAC-VXC-438,evaporative,425.0,2,131.57213884332896
546.5840743543043,7.19127237656857,47.62991812719348,R410A,hvac,3.8797568063768852,2.9067140988920817,1.1632275013372388,3.4645545054835365,337.08588982728344,672.885784741005,COPELAND-ZP91K5E,screw,91,80.0,27.0,GUNTNER-GACV-240,air_cooled,250.0,4,133.74812039052745
525.2729324290667,8.026201179043476,48.19309148500875,R410A,ice_making,3.9094776287117816,2.871963982528268,1.1560631045194187,3.4753149262687564,329.56100543566237,670.2809284271025,COPELAND-ZP91K5E,screw,91,80.0,27.0,GUNTNER-GACV-240,air_cooled,250.0,4,133.43824398510958
620.3427243572374,-19.33478947960331,37.07069750926998,R717,cold_storage,2.6729182221953924,7.317420645272358,1.1066672623599736,0.5439532836844012,1216.0222295856827,813.9891676082568,BITZER-CSH9563-160,screw,1417,500.0,135.0,BAC-VXC-584,evaporative,565.0,2,296.18498795070974
148.01031692166825,-18.888894077606675,45.70151289751018,R717,ice_making,2.2564577229042513,9.095980535936828,1.1470790294232223,0.14079415153616853,309.003930216389,212.77144955022786,BITZER-N320VLD,screw,320,150.0,42.5,BAC-VXC-292,evaporative,250.0,3,49.14437930252641
133.3522841939887,-6.159628026681716,48.40358996878134,R717,hvac,2.932373256468519,5.753824435436449,1.1298329526997326,0.12390327845236267,165.2899013721919,174.53393930646274,BITZER-N320VLD,screw,320,150.0,42.5,BAC-VXC-292,evaporative,250.0,3,43.383356783039595
524.8648169521431,4.46319734313515,49.09373640068118,R717,hvac,3.8806875283165363,3.926389600032009,1.1288083468999366,0.5039694208412876,460.3786477873479,671.4043609313003,BITZER-CSH9563-160,screw,1417,500.0,135.0,BAC-VXC-584,evaporative,565.0,4,133.46022024596468
354.646822290745,-16.565883183235545,46.845655546154774,R717,ice_making,2.332460404499889,8.475631046748699,1.1336673798954982,0.34178610907982726,682.2522136109717,510.1302107376528,BITZER-CSH9563-160,screw,1417,500.0,135.0,BAC-VXC-584,evaporative,565.0,4,89.26276483871115
288.3849976848966,-39.05130174459548,32.370211257914356,R717,process_cooling,1.7998232492955137,16.601844918912455,1.174439387873911,0.2757718874486873,1506.1713669326784,464.2560880227003,BITZER-CSH8561-90,screw,856,300.0,82.5,BAC-VXC-584,evaporative,565.0,4,74.60996877753688
790.6361561485543,-20.66424061060754,31.668394772138896,R410A,blast_freezing,2.744603447897806,5.047944781540788,1.1136810096040948,4.47749184968468,1103.9178704896851,1054.7830445292602,COPELAND-ZP91K5E,screw,91,80.0,27.0,GUNTNER-GACV-240,air_cooled,250.0,2,386.55110228352265
191.35098549750953,-9.204925169679289,49.47083800065967,R717,blast_freezing,2.6481712537705775,6.680450731022925,1.1016900620466148,0.1744296910258014,260.9015685155002,250.2106899615311,BITZER-S6H-25.2,screw,418,190.0,55.0,BAC-VXC-292,evaporative,250.0,4,45.4063632468868
457.16984773060665,-21.76837559186101,43.44954920572926,R717,hvac,2.2016590814913237,9.732684006221978,1.1112626225740174,0.42382330697463777,1049.0108549233612,649.767038580664,BITZER-CSH9563-160,screw,1417,500.0,135.0,BAC-VXC-584,evaporative,565.0,2,223.41002975846024
